frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg
120,1566535946555793366,72.00,-120.00,526,214048,11062,60.28,-126.11,-60.20,0.9830,1,0.2306,0.4459,0.9829,10000,3891,10,497.0,449.7,none,6.4,0.7545,0.2570,4.977,11.901
120,1566535946555793366,72.00,-120.00,526,214048,11062,60.28,-126.11,-60.20,0.9830,1,0.2306,0.4459,0.9829,10000,3891,10,497.0,449.7,icp_d2_i20,2589.1,0.9686,0.2434,0.760,1.388
120,1566535946555793366,72.00,-120.00,526,214048,11062,60.28,-126.11,-60.20,0.9830,1,0.2306,0.4459,0.9829,10000,3891,10,497.0,449.7,gicp_d2_i20,3500.4,0.9828,0.2467,0.242,0.425
120,1566535946555793366,72.00,-120.00,526,214048,11062,60.28,-126.11,-60.20,0.9830,1,0.2306,0.4459,0.9829,10000,3891,10,497.0,449.7,ndt_r2_i30,2051.0,0.9832,0.2485,0.321,0.528
180,1566535952547930646,48.00,-96.00,527,221315,7606,44.61,-94.59,-65.33,0.9629,1,0.1412,0.2681,0.9619,10000,1703,10,333.4,285.3,none,7.4,0.8420,0.2584,1.919,1.246
180,1566535952547930646,48.00,-96.00,527,221315,7606,44.61,-94.59,-65.33,0.9629,1,0.1412,0.2681,0.9619,10000,1703,10,333.4,285.3,icp_d2_i20,1946.2,0.9603,0.2508,0.418,0.200
180,1566535952547930646,48.00,-96.00,527,221315,7606,44.61,-94.59,-65.33,0.9629,1,0.1412,0.2681,0.9619,10000,1703,10,333.4,285.3,gicp_d2_i20,3699.8,0.9633,0.2467,0.819,0.584
180,1566535952547930646,48.00,-96.00,527,221315,7606,44.61,-94.59,-65.33,0.9629,1,0.1412,0.2681,0.9619,10000,1703,10,333.4,285.3,ndt_r2_i30,2052.7,0.9627,0.2447,0.284,0.370
240,1566535958548253343,24.00,-48.00,566,234705,12200,25.69,-54.84,-64.11,0.9876,1,0.1638,0.5986,0.9878,10000,2783,10,570.7,459.4,none,9.1,0.7700,0.2481,2.306,4.774
240,1566535958548253343,24.00,-48.00,566,234705,12200,25.69,-54.84,-64.11,0.9876,1,0.1638,0.5986,0.9878,10000,2783,10,570.7,459.4,icp_d2_i20,3493.2,0.9864,0.2485,0.619,0.909
240,1566535958548253343,24.00,-48.00,566,234705,12200,25.69,-54.84,-64.11,0.9876,1,0.1638,0.5986,0.9878,10000,2783,10,570.7,459.4,gicp_d2_i20,3587.7,0.9881,0.2444,0.640,0.707
240,1566535958548253343,24.00,-48.00,566,234705,12200,25.69,-54.84,-64.11,0.9876,1,0.1638,0.5986,0.9878,10000,2783,10,570.7,459.4,ndt_r2_i30,2301.2,0.9880,0.2490,0.198,0.599
300,1566535964547579747,0.00,-24.00,617,257232,13267,6.01,-16.37,-60.70,0.9839,1,0.1085,0.3706,0.9840,10000,4108,10,602.5,513.9,none,8.1,0.7242,0.2457,4.477,5.200
300,1566535964547579747,0.00,-24.00,617,257232,13267,6.01,-16.37,-60.70,0.9839,1,0.1085,0.3706,0.9840,10000,4108,10,602.5,513.9,icp_d2_i20,3437.8,0.9825,0.2546,0.364,0.784
300,1566535964547579747,0.00,-24.00,617,257232,13267,6.01,-16.37,-60.70,0.9839,1,0.1085,0.3706,0.9840,10000,4108,10,602.5,513.9,gicp_d2_i20,3578.4,0.9842,0.2460,0.568,0.395
300,1566535964547579747,0.00,-24.00,617,257232,13267,6.01,-16.37,-60.70,0.9839,1,0.1085,0.3706,0.9840,10000,4108,10,602.5,513.9,ndt_r2_i30,2431.4,0.9839,0.2451,0.333,0.454
360,1566535970552692171,-24.00,24.00,693,281568,12612,-16.00,25.94,-62.86,0.9051,1,0.0883,0.1376,0.9052,10000,2658,10,515.3,407.7,none,10.5,0.7146,0.2516,0.979,6.744
360,1566535970552692171,-24.00,24.00,693,281568,12612,-16.00,25.94,-62.86,0.9051,1,0.0883,0.1376,0.9052,10000,2658,10,515.3,407.7,icp_d2_i20,2994.1,0.9052,0.2461,0.622,0.858
360,1566535970552692171,-24.00,24.00,693,281568,12612,-16.00,25.94,-62.86,0.9051,1,0.0883,0.1376,0.9052,10000,2658,10,515.3,407.7,gicp_d2_i20,3536.2,0.9060,0.2447,0.859,0.099
360,1566535970552692171,-24.00,24.00,693,281568,12612,-16.00,25.94,-62.86,0.9051,1,0.0883,0.1376,0.9052,10000,2658,10,515.3,407.7,ndt_r2_i30,2230.6,0.9060,0.2417,0.359,0.273
420,1566535976554012433,-48.00,72.00,751,277294,10820,-38.83,67.82,-60.35,0.9428,1,0.0478,0.4617,0.9427,10000,3703,10,403.9,365.9,none,7.8,0.7241,0.2521,4.238,3.343
420,1566535976554012433,-48.00,72.00,751,277294,10820,-38.83,67.82,-60.35,0.9428,1,0.0478,0.4617,0.9427,10000,3703,10,403.9,365.9,icp_d2_i20,3250.6,0.9317,0.2445,1.134,1.555
420,1566535976554012433,-48.00,72.00,751,277294,10820,-38.83,67.82,-60.35,0.9428,1,0.0478,0.4617,0.9427,10000,3703,10,403.9,365.9,gicp_d2_i20,3692.6,0.9427,0.2397,0.102,0.450
420,1566535976554012433,-48.00,72.00,751,277294,10820,-38.83,67.82,-60.35,0.9428,1,0.0478,0.4617,0.9427,10000,3703,10,403.9,365.9,ndt_r2_i30,2110.5,0.9426,0.2388,0.359,0.618
480,1566535982547521896,-72.00,120.00,765,313168,11194,-66.11,110.88,-57.20,0.9581,1,0.1181,0.3380,0.9582,10000,3728,10,608.4,377.5,none,6.9,0.7634,0.2512,10.805,5.501
480,1566535982547521896,-72.00,120.00,765,313168,11194,-66.11,110.88,-57.20,0.9581,1,0.1181,0.3380,0.9582,10000,3728,10,608.4,377.5,icp_d2_i20,2876.6,0.8604,0.2498,5.014,2.375
480,1566535982547521896,-72.00,120.00,765,313168,11194,-66.11,110.88,-57.20,0.9581,1,0.1181,0.3380,0.9582,10000,3728,10,608.4,377.5,gicp_d2_i20,3760.4,0.9569,0.2478,1.434,0.489
480,1566535982547521896,-72.00,120.00,765,313168,11194,-66.11,110.88,-57.20,0.9581,1,0.1181,0.3380,0.9582,10000,3728,10,608.4,377.5,ndt_r2_i30,2259.9,0.9128,0.2463,2.963,3.030
540,1566535988547383281,-96.00,144.00,783,322140,11789,-95.48,153.62,-52.50,0.9880,1,0.1174,0.2359,0.9875,10000,1735,10,620.1,409.8,none,11.6,0.5762,0.2555,4.858,11.898
540,1566535988547383281,-96.00,144.00,783,322140,11789,-95.48,153.62,-52.50,0.9880,1,0.1174,0.2359,0.9875,10000,1735,10,620.1,409.8,icp_d2_i20,3991.2,0.6621,0.2494,6.659,9.618
540,1566535988547383281,-96.00,144.00,783,322140,11789,-95.48,153.62,-52.50,0.9880,1,0.1174,0.2359,0.9875,10000,1735,10,620.1,409.8,gicp_d2_i20,3615.0,0.6548,0.2409,5.864,10.527
540,1566535988547383281,-96.00,144.00,783,322140,11789,-95.48,153.62,-52.50,0.9880,1,0.1174,0.2359,0.9875,10000,1735,10,620.1,409.8,ndt_r2_i30,1965.9,0.7060,0.2411,4.355,6.961
